idx,raw_prompt,final_prompt,style,size,technical_ok,clip_score,aesthetic_score,notes,model
1,A red apple on a wooden table with soft natural lighting,"A red apple on a wooden table with soft natural lighting
photorealistic, natural lighting, high detail, sharp focus

Negative: blurry, logo, low resolution, text, watermark.",photorealistic,1024x1024,TRUE,0.327075243,6.600981236,Technical validation OK.,gpt-image-1-mini
2,Two golden retrievers playing in a snowy park,"Two golden retrievers playing in a snowy park
anime style, clean linework, vibrant colors, studio quality

Negative: logo, text, watermark.",anime,1024x1024,TRUE,0.396611631,7.146003723,Technical validation OK.,gpt-image-1-mini
3,A futuristic city skyline at night with neon lights,"A futuristic city skyline at night with neon lights
3D render, soft global illumination, high poly, cinematic lighting

Negative: logo, text, watermark.",3d,1024x1024,TRUE,0.328196257,7.253720284,Technical validation OK.,gpt-image-1-mini
4,A medieval castle on a hill under stormy clouds,"A medieval castle on a hill under stormy clouds
digital illustration, crisp shapes, pleasing composition

Negative: logo, text, watermark.",illustration,1024x1024,TRUE,0.317357391,7.503058434,Technical validation OK.,gpt-image-1-mini
5,Three colorful parrots sitting on a branch,"Three colorful parrots sitting on a branch
photorealistic, natural lighting, high detail, sharp focus

Negative: blurry, logo, low resolution, text, watermark.",photorealistic,1024x1024,TRUE,0.335187525,6.927106857,Technical validation OK.,gpt-image-1-mini
6,A cozy coffee shop interior with warm lighting,"A cozy coffee shop interior with warm lighting
anime style, clean linework, vibrant colors, studio quality

Negative: logo, text, watermark.",anime,1024x1024,TRUE,0.322861403,7.005791664,Technical validation OK.,gpt-image-1-mini
7,A mountain lake surrounded by pine trees at sunrise,"A mountain lake surrounded by pine trees at sunrise
3D render, soft global illumination, high poly, cinematic lighting

Negative: logo, text, watermark.",3d,1024x1024,TRUE,0.328514397,7.674444199,Technical validation OK.,gpt-image-1-mini
8,A vintage car parked beside a countryside road,"A vintage car parked beside a countryside road
digital illustration, crisp shapes, pleasing composition
Spatial constraints: beside.
Negative: logo, text, watermark.",illustration,1024x1024,TRUE,0.309145838,8.930450439,Technical validation OK.,gpt-image-1-mini
9,A portrait of an elderly fisherman with weathered skin,"A portrait of an elderly fisherman with weathered skin
photorealistic, natural lighting, high detail, sharp focus

Negative: blurry, logo, low resolution, text, watermark.",photorealistic,1024x1024,TRUE,0.354046196,7.000336647,Technical validation OK.,gpt-image-1-mini
10,A bustling street market in Morocco,"A bustling street market in Morocco
anime style, clean linework, vibrant colors, studio quality

Negative: logo, text, watermark.",anime,1024x1024,TRUE,0.334688336,8.433002472,Technical validation OK.,gpt-image-1-mini
11,A minimalist modern living room interior,"A minimalist modern living room interior
3D render, soft global illumination, high poly, cinematic lighting

Negative: logo, text, watermark.",3d,1024x1024,TRUE,0.273793221,6.016368389,Technical validation OK.,gpt-image-1-mini
12,A dragon flying above a fantasy kingdom,"A dragon flying above a fantasy kingdom
digital illustration, crisp shapes, pleasing composition

Negative: logo, text, watermark.",illustration,1024x1024,TRUE,0.31233567,7.157056808,Technical validation OK.,gpt-image-1-mini
13,An astronaut walking on Mars with a rocket behind,"An astronaut walking on Mars with a rocket behind
photorealistic, natural lighting, high detail, sharp focus
Spatial constraints: behind.
Negative: blurry, logo, low resolution, text, watermark.",photorealistic,1024x1024,TRUE,0.306158453,6.484828949,Technical validation OK.,gpt-image-1-mini
14,A tropical beach with turquoise water and palm trees,"A tropical beach with turquoise water and palm trees
anime style, clean linework, vibrant colors, studio quality

Negative: logo, text, watermark.",anime,1024x1024,TRUE,0.326957583,8.26706028,Technical validation OK.,gpt-image-1-mini
15,A cyberpunk alleyway with rain and neon signs,"A cyberpunk alleyway with rain and neon signs
3D render, soft global illumination, high poly, cinematic lighting

Negative: logo, text, watermark.",3d,1024x1024,TRUE,0.351259828,7.484825134,Technical validation OK.,gpt-image-1-mini
16,A close-up of a blooming sunflower,"A close-up of a blooming sunflower
digital illustration, crisp shapes, pleasing composition

Negative: logo, text, watermark.",illustration,1024x1024,TRUE,0.321442217,6.623488426,Technical validation OK.,gpt-image-1-mini
17,A snowy cabin in the woods at dusk,"A snowy cabin in the woods at dusk
photorealistic, natural lighting, high detail, sharp focus

Negative: blurry, logo, low resolution, text, watermark.",photorealistic,1024x1024,TRUE,0.339272767,7.98263073,Technical validation OK.,gpt-image-1-mini
